Date,Power_kW
16-01-2019 00:00,102.212
16-01-2019 01:00,102.703
16-01-2019 02:00,105.681
16-01-2019 03:00,103.274
16-01-2019 04:00,104.021
16-01-2019 05:00,98.444
16-01-2019 06:00,110.159
16-01-2019 07:00,157.657
16-01-2019 08:00,194.484
16-01-2019 09:00,240.381
16-01-2019 10:00,272.324
16-01-2019 11:00,341.5
16-01-2019 12:00,300.783
16-01-2019 13:00,325.672
16-01-2019 14:00,295.274
16-01-2019 15:00,306.245
16-01-2019 16:00,291.019
16-01-2019 17:00,276.015
16-01-2019 18:00,232.051
16-01-2019 19:00,186.078
16-01-2019 20:00,159.965
16-01-2019 21:00,123.84
16-01-2019 22:00,114.594
16-01-2019 23:00,112.045
17-01-2019 00:00,112.712
17-01-2019 01:00,108.276
17-01-2019 02:00,107.548
17-01-2019 03:00,110.592
17-01-2019 04:00,107.207
17-01-2019 05:00,106.034
17-01-2019 06:00,115.357
17-01-2019 07:00,157.098
17-01-2019 08:00,202.047
17-01-2019 09:00,238.721
17-01-2019 10:00,269.526
17-01-2019 11:00,346.606
17-01-2019 12:00,285.645
17-01-2019 13:00,303.504
17-01-2019 14:00,301.837
17-01-2019 15:00,309.887
17-01-2019 16:00,284.652
17-01-2019 17:00,265.382
17-01-2019 18:00,232.572
17-01-2019 19:00,174.808
17-01-2019 20:00,157.979
17-01-2019 21:00,125.143
17-01-2019 22:00,115.932
17-01-2019 23:00,102.316
18-01-2019 00:00,105.133
18-01-2019 01:00,108.978
18-01-2019 02:00,104.535
18-01-2019 03:00,109.848
18-01-2019 04:00,102.124
18-01-2019 05:00,104.071
18-01-2019 06:00,112.731
18-01-2019 07:00,152.41
18-01-2019 08:00,202.649
18-01-2019 09:00,240.12
18-01-2019 10:00,268.862
18-01-2019 11:00,342.639
18-01-2019 12:00,288.543
18-01-2019 13:00,298.233
18-01-2019 14:00,297.532
18-01-2019 15:00,295.374
18-01-2019 16:00,273.328
18-01-2019 17:00,253.069
18-01-2019 18:00,221.797
18-01-2019 19:00,160.356
